MMETSP.Strain,Doubling.Time,OGT,Source,GenomeOrTranscriptome,Source.Link,Source.DOI
Uronema sp. Bbcil,6,22,Wang et al. 2005; [143],MMETSP0018,https://aem.asm.org/content/aem/71/8/4628.full.pdf,https://doi.org/10.1128/AEM.71.8.4628-4637.2005
Grammatophora oceanica CCMP 410,24.46,20,"Martin and Tortell, 2008; [84]",MMETSP0009,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1399-3054.2008.01054.x?casa_token=n1GWF6CO-bQAAAAA:QIV22cZwI-VbZJmOZdmli34d3suYeUNxby10eUVZ-5XfQccbL-2wtZcx22sJX0VeiQM44HUECu6EIMw7,https://doi.org/10.1111/j.1399-3054.2008.01054.x
Corethron hystrix 308,61.22,14,Read et al. 2019; [112],MMETSP0010,https://link.springer.com/article/10.1007%2Fs00253-018-9544-x,https://doi.org/10.1007/s00253-018-9544-x
Rhodosorus marinus CCMP 769,23.9,22,Dupre et al. 1995; [28],MMETSP0011,"https://link.springer.com/article/10.1007/BF00157076#:~:text=Summary,2%20g.l%2D1%20dry%20weight.",https://doi.org/10.1007/BF00157076
Hemiselmis andersenii CCMP644,17.33,25,"Fernandes and Cordiero, 2020; [32]",MMETSP0043,"https://onlinelibrary.wiley.com/doi/10.1111/jpy.13042#:~:text=Growth%20and%20extraction%20yield,of%200.96%20%C2%B7%20d%E2%88%921.",https://doi.org/10.1111/jpy.13042
Pyramimonas parkeae CCMP726,19.57,25,"Kohata and Watanabe, 1988; [67]",MMETSP0058,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1529-8817.1989.tb00134.x?casa_token=TtpxBMyL1EoAAAAA:SQkbGXz6v2yYCWCjUKKq-QPt2eKCMWyTQsU0Q1Vnb-54N60yD6mUTfgPzxu6VS8n_qJ7bsn0jZCg0_cN,https://doi.org/10.1111/j.1529-8817.1989.tb00134.x
Chlamydomonas euryale CCMP219,119.68,20,"Coughlan, 1977; [19]",MMETSP0063,https://www.tandfonline.com/doi/abs/10.1080/00071617700650171,https://doi.org/10.1080/00071617700650171
Bigelowiella natans CCMP 2755,33.27,24,Neilson et al. 2017; [95],MMETSP0045,https://www.sciencedirect.com/science/article/pii/S0176161717301475,https://doi.org/10.1016/j.jplph.2017.05.019
Guillardia theta CCMP 2712,34,18,Cheregi et al. 2015 [18],MMETSP0046,https://academic.oup.com/jxb/article/66/20/6461/553934?login=true,https://doi.org/10.1093/jxb/erv362
Goniomonas pacifica CCMP1869,83.18,22,Apple et al. 2011; [3],MMETSP0107,https://aem.asm.org/content/77/9/3074.short,https://doi.org/10.1128/AEM.02241-10
Kryptoperidinium foliaceum CCMP 1326,100,19,Figueroa et al. 2009; [33],MMETSP0121,https://www.sciencedirect.com/science/article/pii/S1434461009000029,https://doi.org/10.1016/j.protis.2008.12.003
Pseudo-nitzschia australis 10249 10 AB,17.7,15,Cusack et al. 2002; [21],MMETSP0139,https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1529-8817.2002.01054.x?casa_token=-aVq9BD1s7QAAAAA:jGd0ECuQSckXnyMNtsyMPpLDYBJ9HOdRNjR83hEgNOVIeFUf3dNCCUVVdhNOH-c1WbJcMrPcBDQuNvTN,https://doi.org/10.1046/j.1529-8817.2002.01054.x
